Number;Start time in milliseconds;End time in milliseconds;"Text"
295;6999885;7002885;"Prithvi Sonar: wait"
296;7000553;7003553;"Anjali Mudaliar: yup"
297;7001334;7004334;"Ayush Jha: yes"
298;7002608;7005608;"Rutuja Inamke: No"
299;7003654;7006654;"Sakshi Buchade: yes"
300;7013870;7016870;"Manali Gadiya: What to do after dashboard?"
301;7013961;7016961;"SHRUTI DEY: Yaaaaaaassss"
302;7017071;7020071;"Abhijeet Katore: Yes"
303;7048710;7051710;"Vishesh Waghmare: Dashboard-> services-> discovery"
304;7082873;7085873;"Pooja H: The page isn't loading"
305;7094126;7097126;"Bhavin Kothari: Repeat"
306;7095840;7098840;"Abhijeet Katore: Wait"
307;7102059;7105059;"Pooja H: Discovery"
308;7108666;7111666;"Prithvi Sonar: i got logged out of the ibm cloud"
309;7113375;7116375;"Pooja H: cool"
310;7121183;7124183;"Vishesh Waghmare: Login again prithvi"
311;7122551;7125551;"Abhijeet Katore: Please repeat "upload" one"
312;7124295;7127295;"bhavesh joshi: Repeat discovery"
313;7147921;7150921;"Prithvi Sonar: yeah"
314;7150660;7153660;"Prithvi Sonar: no"
315;7151789;7154789;"Abhijeet Katore: Done"
316;7153208;7156208;"rohini rao: yes"
317;7153251;7156251;"aditi kanade: yes"
318;7154144;7157144;"Aditi Naik: Yes"
319;7155386;7158386;"Abhijeet Katore: Yes"
320;7156295;7159295;"Abhinandan Padmakar Pandey: repeat"
321;7160771;7163771;"Tejal Wagh: yes"
322;7161259;7164259;"damayanti chavan: Wait"
323;7162021;7165021;"Shraddha Jagtap: Yes"
324;7163189;7166189;"namitaa chandrashekhar: yes"
325;7164981;7167981;"Ayush Jha: yes"
326;7165133;7168133;"Vishesh Waghmare: Upload own-> use manual-> English-> create"
327;7167178;7170178;"sonal shitole: yes"
328;7171910;7174910;"janhavi pawar: repeat discovery"
329;7172468;7175468;"Payal Pagariya: yes"
330;7226607;7229607;"Srinevetha A R: How to upload ?"
331;7248634;7251634;"Manali Gadiya: Which document to select?"
332;7259216;7262216;"Srinevetha A R: Thank you"
333;7260136;7263136;"SIDDHANT SINGH: the documnet you just downloaded"
334;7261463;7264463;"bhavesh joshi: Can we close assistant tabs ?"
335;7268638;7271638;"Vishesh Waghmare: Yes bhavesh"
336;7274229;7277229;"bhavesh joshi: Okay"
337;7276339;7279339;"Aditi Naik: 1 file is not supported"
338;7309002;7312002;"SIDDHANT SINGH: aditi upload only 1 file"
339;7314251;7317251;"SIDDHANT SINGH: the pdf one"
340;7319742;7322742;"Abhijeet Katore: "Failed to get credentials"***"
341;7329421;7332421;"Vishesh Waghmare: Upload Product user manual"
342;7332809;7335809;"Aditi Naik: Okay okay"
343;7336429;7339429;"SIDDHANT SINGH: abhijeet restart discovery"
344;7357759;7360759;"Prithvi Sonar: im on manage data page"
345;7369467;7372467;"Varshitha Reddy: Yes"
346;7372288;7375288;"rupali shivpure: Yess"
347;7376721;7379721;"Bhavin Kothari: Plzz wait , it's still uploading"
348;7376859;7379859;"Tejal Wagh: yes"
349;7378699;7381699;"Aditi Naik: It's still processing data"
350;7379210;7382210;"bhavesh joshi: Processing"
351;7388709;7391709;"Srinevetha A R: Still processing"
352;7393550;7396550;"Anjali Mudaliar: still processing"
353;7395026;7398026;"Anjali Mudaliar: yup"
354;7399994;7402994;"sai nikhilesh: Yes"
355;7400908;7403908;"Prithvi Sonar: where is the overview tab"
356;7407649;7410649;"umesh inamdar: yaa still processing"
357;7408094;7411094;"SIDDHANT SINGH: processing will take some time"
358;7430067;7433067;"Prithvi Sonar: wait"
359;7437566;7440566;"SIDDHANT SINGH: ishali go slow"
360;7470810;7473810;"Prithvi Sonar: cant find user manual"
361;7498045;7501045;"ishali jadhav: https://drive.google.com/drive/folders/1rxDSKfNOno3LLz8RXH6HXzms9ZP1AJ6U"
362;7498295;7501295;"Manali Gadiya: Why is it showing error and warning as 1?"
363;7511351;7514351;"Sahej Chandok: link is shared on whatsapp group too!!"
364;7533068;7536068;"rujula shinde: failed to get credentials for service"
365;7535010;7538010;"Manali Gadiya: Oky fine"
366;7579246;7582246;"Anjali Mudaliar: yup"
367;7579509;7582509;"Vishesh Waghmare: Rujula reopen discovery"
368;7580824;7583824;"Payal Pagariya: yes"
369;7580875;7583875;"sonal shitole: yes"
370;7581189;7584189;"Khushi Dhake: Yes"
371;7582504;7585504;"Bhavin Kothari: Yass"
372;7583647;7586647;"Ayush Jha: yes"
373;7584808;7587808;"Manali K: Yes"
374;7587629;7590629;"Aashutosh Bhardwaj: yes"
375;7587755;7590755;"Prithvi Sonar: still processing"
376;7588927;7591927;"rupali shivpure: Yess"
377;7589059;7592059;"Swarnim Rai: no still processing"
378;7594535;7597535;"Aditi Naik: Processing :("
379;7598111;7601111;"Asit Raut: still processing"
380;7602474;7605474;"Rutuja Inamke: Still processing"
381;7603915;7606915;"Abhijeet Katore: I'll wait, stuck on processing"
382;7663141;7666141;"Aditi Naik: Yes"
383;7678076;7681076;"Tejal Wagh: Its still processing"
384;7682222;7685222;"Vishesh Waghmare: Wait for 2-3 min ishali then move forward"
385;7711287;7714287;"Vishesh Waghmare: Don't follow these steps"
386;7716555;7719555;"Vishesh Waghmare: This is just a demonstration"
387;7726366;7729366;"sonal shitole: yes"
388;7729295;7732295;"Anjali Mudaliar: yup"
389;7733130;7736130;"Tejal Wagh: yes"
390;7734781;7737781;"Swarnim Rai: yep"
391;7766360;7769360;"Prithvi Sonar: yup"
392;7798747;7801747;"Vishesh Waghmare: Come on overview page on top right click on configure data"
393;7851519;7854519;"Tamal Samanta: ."
394;7903592;7906592;"SIDDHANT SINGH: yes"
395;7904401;7907401;"sonal shitole: yes"
396;7904657;7907657;"AKALBIR SINGH CHADHA: Yes"
397;7905114;7908114;"Swarnim Rai: yes"
398;7905811;7908811;"Aishwarya Beedkar: yes"
